fileid	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok
2017-10-02	62	LatorcaiJanos	183	JakabIstvan	248	LatorcaiJanos														
2017-10-03	32	LezsakSandor	66	JakabIstvan	100	LatorcaiJanos	128	HillerIstvan	151	LatorcaiJanos										
2017-10-04	24	LezsakSandor	46	JakabIstvan	53	LatorcaiJanos														
2017-10-09	10	LezsakSandor	78	SneiderTamas	195	LezsakSandor														
2017-10-16	104	JakabIstvan	276	LezsakSandor	299	HillerIstvan														
2017-10-17	32	LezsakSandor	62	JakabIstvan	123	LezsakSandor														
2017-10-18	24	LezsakSandor	56	SneiderTamas	106	HillerIstvan	115	SneiderTamas												
2017-10-19	22	JakabIstvan	35	SneiderTamas	87	HillerIstvan	94	SneiderTamas												
2017-10-24	84	LatorcaiJanos	255	SneiderTamas																
2017-10-30	58	KoverLaszlo	170	LatorcaiJanos	277	JakabIstvan														
2017-10-31	48	LezsakSandor	61	JakabIstvan	81	LatorcaiJanos	117	LezsakSandor	134	HillerIstvan										
2017-11-02	64	HillerIstvan	102	LezsakSandor	185	LatorcaiJanos														
2017-11-03	79	LatorcaiJanos																		
2017-11-06	80	LezsakSandor	188	JakabIstvan	216	SneiderTamas	277	LatorcaiJanos												
2017-11-13	60	KoverLaszlo	226	LatorcaiJanos	358	JakabIstvan	413	SneiderTamas												
2017-11-14	26	JakabIstvan	60	LatorcaiJanos	106	LezsakSandor	182	JakabIstvan	199	HillerIstvan										
2017-11-15	32	HillerIstvan	62	JakabIstvan	109	LezsakSandor														
2017-11-16	60	SneiderTamas	110	LatorcaiJanos	139	JakabIstvan														
2017-11-20	92	JakabIstvan	239	LezsakSandor																
2017-11-27	64	KoverLaszlo	217	JakabIstvan	312	LezsakSandor														
2017-11-28	50	LatorcaiJanos	98	JakabIstvan	170	LezsakSandor	237	JakabIstvan												
2017-11-30	26	LatorcaiJanos	50	JakabIstvan	76	SneiderTamas	110	LatorcaiJanos	141	SneiderTamas										
2017-12-04	82	LatorcaiJanos	222	LezsakSandor	254	SneiderTamas	285	HillerIstvan												
2017-12-11	80	KoverLaszlo	190	LatorcaiJanos	276	JakabIstvan	400	LezsakSandor	409	HillerIstvan										
2017-12-12	40	LezsakSandor	65	JakabIstvan	109	LatorcaiJanos														
2018-01-30	17	LatorcaiJanos																		
2018-02-19	52	KoverLaszlo	178	JakabIstvan	237	LatorcaiJanos														
2018-02-20	82	LezsakSandor	133	JakabIstvan	150	KoverLaszlo	156	LatorcaiJanos	204	HillerIstvan	213	LatorcaiJanos								
2018-02-21	24	LatorcaiJanos	67	SneiderTamas	88	HillerIstvan	97	LatorcaiJanos												
2018-03-21	35	LatorcaiJanos																		
2018-05-08	24	TuriKovacsBela	26	KoverLaszlo																
2018-05-10	5	KoverLaszlo																		
2018-05-11	33	LatorcaiJanos																		
